candidate,single_score,with_base_set,improvement,best_pair_with,best_pair_score
bar5s_shape_ask_sz_frac_l06_eob,0.4228723404255319,0.4228723404255319,-0.0292553191489362,bar5s_setup_min_dist_pts,0.4228723404255319
bar5s_shape_bid_sz_frac_l08_eob,0.2872340425531915,0.4228723404255319,-0.0292553191489362,bar5s_setup_min_dist_pts,0.4228723404255319
rvol_cumul_msg_dev,0.4228723404255319,0.4228723404255319,-0.0292553191489362,bar5s_setup_min_dist_pts,0.4228723404255319
bar5s_setup_ask_wall_bars,0.4228723404255319,0.4228723404255319,-0.0292553191489362,bar5s_setup_min_dist_pts,0.4228723404255319
bar5s_shape_ask_sz_l09_eob,0.4228723404255319,0.4228723404255319,-0.0292553191489362,bar5s_setup_min_dist_pts,0.4228723404255319
bar5s_lvl_depth_band_1to2_frac_eob,0.2526595744680851,0.42021276595744683,-0.03191489361702127,bar5s_setup_min_dist_pts,0.42021276595744683
bar5s_shape_ask_sz_frac_l09_eob,0.4228723404255319,0.42021276595744683,-0.03191489361702127,bar5s_setup_min_dist_pts,0.42021276595744683
bar5s_depth_above_p2_3_qty_twa,0.4228723404255319,0.42021276595744683,-0.03191489361702127,bar5s_setup_min_dist_pts,0.42021276595744683
bar5s_deriv_waskz_d1_w72,0.4228723404255319,0.42021276595744683,-0.03191489361702127,bar5s_setup_min_dist_pts,0.42021276595744683
bar5s_cumul_flow_net_bid_p0_1,0.34574468085106386,0.42021276595744683,-0.03191489361702127,bar5s_setup_min_dist_pts,0.42021276595744683
bar5s_deriv_cdi12_d1_w3,0.4228723404255319,0.42021276595744683,-0.03191489361702127,bar5s_setup_min_dist_pts,0.42021276595744683
rvol_flow_net_ask_ratio,0.35904255319148937,0.42021276595744683,-0.03191489361702127,bar5s_setup_min_dist_pts,0.42021276595744683
rvol_trade_vol_ratio,0.3696808510638298,0.42021276595744683,-0.03191489361702127,bar5s_setup_min_dist_pts,0.42021276595744683
bar5s_deriv_obi10_d2_w72,0.32978723404255317,0.42021276595744683,-0.03191489361702127,bar5s_setup_min_dist_pts,0.42021276595744683
bar5s_setup_bid_wall_bars,0.3351063829787234,0.42021276595744683,-0.03191489361702127,bar5s_setup_min_dist_pts,0.42021276595744683
rvol_lookback_depressed_bars,0.40691489361702127,0.42021276595744683,-0.03191489361702127,bar5s_setup_min_dist_pts,0.42021276595744683
bar5s_depth_above_p1_2_frac_eob,0.4228723404255319,0.42021276595744683,-0.03191489361702127,bar5s_setup_min_dist_pts,0.42021276595744683
