Found 429 feature columns.
Feature                                            | Status                         | Min        | Max        | Mean       | % Zeros 
bar5s_wall_ask_maxz_eob                            | OK                             | 0.5000     | 2.8724     | 1.6310     | 0.0     
bar5s_wall_bid_maxz_levelidx_eob                   | OK                             | 0.0000     | 9.0000     | 2.9806     | 9.5     
bar5s_wall_ask_maxz_levelidx_eob                   | OK                             | 0.0000     | 9.0000     | 2.9333     | 8.7     
bar5s_wall_bid_nearest_strong_dist_pts_eob         | NULLs: 81.6%                   | 0.3333     | 19.6250    | 1.7198     | 0.0     
bar5s_wall_ask_nearest_strong_dist_pts_eob         | NULLs: 82.1%                   | 0.2500     | 18.6667    | 1.8131     | 0.0     
bar5s_wall_bid_nearest_strong_levelidx_eob         | OK                             | -1.0000    | 9.0000     | 0.0095     | 1.8     
bar5s_wall_ask_nearest_strong_levelidx_eob         | OK                             | -1.0000    | 9.0000     | 0.0323     | 1.1     
bar5s_approach_dist_to_level_pts_eob               | OK                             | -12.7500   | 1.8000     | -2.9237    | 0.3     
bar5s_approach_dist_to_level_pts_twa               | OK                             | -12.7500   | 1.8500     | -2.9259    | 0.0     
bar5s_approach_abs_dist_to_level_pts_eob           | OK                             | 0.0000     | 12.7500    | 3.0629     | 0.3     
bar5s_approach_side_of_level_eob                   | OK                             | -1.0000    | 1.0000     | -0.7612    | 0.0     
bar5s_approach_is_pm_high                          | CONSTANT: 1                    | 1.0000     | 1.0000     | 1.0000     | 0.0     
bar5s_approach_is_pm_low                           | ALL_ZEROS; CONSTANT: 0         | 0.0000     | 0.0000     | 0.0000     | 100.0   
bar5s_approach_is_or_high                          | ALL_ZEROS; CONSTANT: 0         | 0.0000     | 0.0000     | 0.0000     | 100.0   
bar5s_approach_is_or_low                           | ALL_ZEROS; CONSTANT: 0         | 0.0000     | 0.0000     | 0.0000     | 100.0   
bar5s_approach_level_polarity                      | CONSTANT: 1                    | 1.0000     | 1.0000     | 1.0000     | 0.0     
bar5s_approach_alignment_eob                       | OK                             | -1.0000    | 1.0000     | 0.7612     | 0.0     
bar5s_deriv_dist_d1_w3                             | NULLs: 0.8%                    | -3.0417    | 1.0958     | 0.0002     | 2.8     
bar5s_deriv_dist_d1_w12                            | NULLs: 3.4%                    | -0.9167    | 0.4206     | -0.0017    | 1.0     
bar5s_deriv_dist_d1_w36                            | NULLs: 10.2%                   | -0.2574    | 0.2054     | 0.0044     | 0.8     
bar5s_deriv_dist_d1_w72                            | NULLs: 20.4%                   | -0.1291    | 0.1319     | 0.0048     | 0.4     
bar5s_deriv_dist_d2_w3                             | NULLs: 1.7%                    | -0.9676    | 1.0139     | 0.0004     | 0.5     
bar5s_deriv_dist_d2_w12                            | NULLs: 6.8%                    | -0.0752    | 0.0567     | -0.0010    | 0.4     
bar5s_deriv_dist_d2_w36                            | NULLs: 20.4%                   | -0.0084    | 0.0069     | -0.0003    | 0.2     
bar5s_deriv_dist_d2_w72                            | NULLs: 40.7%                   | -0.0018    | 0.0025     | -0.0004    | 0.0     
bar5s_deriv_obi0_d1_w3                             | NULLs: 0.8%                    | -0.4000    | 0.4343     | -0.0004    | 11.8    
bar5s_deriv_obi0_d1_w12                            | NULLs: 3.4%                    | -0.1095    | 0.1056     | -0.0003    | 10.7    
bar5s_deriv_obi0_d1_w36                            | NULLs: 10.2%                   | -0.0365    | 0.0352     | -0.0003    | 8.4     
bar5s_deriv_obi0_d1_w72                            | NULLs: 20.4%                   | -0.0172    | 0.0176     | -0.0003    | 6.8     
bar5s_deriv_obi0_d2_w3                             | NULLs: 1.7%                    | -0.2556    | 0.2559     | -0.0001    | 2.7     
bar5s_deriv_obi0_d2_w12                            | NULLs: 6.8%                    | -0.0151    | 0.0175     | -0.0000    | 3.0     
bar5s_deriv_obi0_d2_w36                            | NULLs: 20.4%                   | -0.0017    | 0.0019     | -0.0000    | 1.6     
bar5s_deriv_obi0_d2_w72                            | NULLs: 40.7%                   | -0.0004    | 0.0004     | -0.0000    | 2.4     
bar5s_deriv_obi10_d1_w3                            | NULLs: 0.8%                    | -0.1981    | 0.2060     | 0.0002     | 1.9     
bar5s_deriv_obi10_d1_w12                           | NULLs: 3.4%                    | -0.0354    | 0.0660     | 0.0000     | 0.5     
bar5s_deriv_obi10_d1_w36                           | NULLs: 10.2%                   | -0.0128    | 0.0183     | -0.0002    | 0.6     
bar5s_deriv_obi10_d1_w72                           | NULLs: 20.4%                   | -0.0075    | 0.0073     | -0.0002    | 0.5     
bar5s_deriv_obi10_d2_w3                            | NULLs: 1.7%                    | -0.0729    | 0.1056     | 0.0000     | 0.2     
bar5s_deriv_obi10_d2_w12                           | NULLs: 6.8%                    | -0.0074    | 0.0078     | 0.0000     | 0.0     
bar5s_deriv_obi10_d2_w36                           | NULLs: 20.4%                   | -0.0006    | 0.0008     | 0.0000     | 0.0     
bar5s_deriv_obi10_d2_w72                           | NULLs: 40.7%                   | -0.0002    | 0.0001     | -0.0000    | 0.0     
bar5s_deriv_cdi01_d1_w3                            | NULLs: 0.8%                    | -0.2000    | 0.2063     | 0.0001     | 4.3     
bar5s_deriv_cdi01_d1_w12                           | NULLs: 3.4%                    | -0.0556    | 0.0556     | 0.0000     | 2.4     
